CellType,TF104XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF112XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF128XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF135XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF146XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF155XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF187XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF191XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF199MPXR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF208XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF210XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF211s2XR2122_comb3cpgmasked-hg38_PE-dedup_sorted,TF217XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF227XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF258XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF41XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF43XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF45XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF50XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF52XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF537XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF576XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF577XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF578XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF579XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF583XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF589XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF590XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF615XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF640XR2122_comb3cpgmasked-hg38_PE-dedup_sorted,TF642XR2122_comb3cpgmasked-hg38_PE-dedup_sorted,TF707XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF708XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF709XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF71XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF81XR24A_comb3cpgmasked-hg38_PE-dedup_sorted,TF99XR24A_comb3cpgmasked-hg38_PE-dedup_sorted
Blood-B,0.0442914,0.0276537,0.0287662,0.1701371,0.0394577,0.0343307,0.1462300,0.1428811,0.0331514,0.1600231,0.1439605,0.0426334,0.1721693,0.1768240,0.1406464,0.0511162,0.0312596,0.0512228,0.0304228,0.0471728,0.0230482,0.0410394,0.0397792,0.0322696,0.0304511,0.0228591,0.0267178,0.0378689,0.0284858,0.0328168,0.0388531,0.0450615,0.0353476,0.0332603,0.0409861,0.0304775,0.0111671
Blood-Granul,0.0324322,0.0270951,0.0242275,0.0421184,0.0352253,0.0311663,0.0438429,0.0370537,0.0848182,0.0444298,0.0425459,0.0427999,0.0391258,0.0497017,0.0459996,0.0473671,0.0275909,0.0517751,0.0224629,0.0493069,0.0575880,0.0489239,0.0180461,0.0297868,0.0365170,0.0373121,0.0292349,0.0126917,0.0342745,0.1358711,0.0390630,0.0584826,0.0415810,0.0340266,0.0320476,0.0390536,0.0158370
Blood-Mono+Macro,0.0533940,0.0350596,0.0625204,0.1022178,0.0253590,0.0296306,0.0765033,0.0834170,0.1147639,0.0895382,0.1047576,0.0580049,0.1303213,0.1093486,0.0793406,0.0584515,0.0725338,0.0550049,0.0651835,0.0518585,0.0759274,0.0267553,0.0253633,0.0605625,0.0770405,0.0163032,0.0331171,0.0613792,0.0668010,0.0872689,0.0621346,0.0444727,0.0769347,0.0702146,0.0439198,0.0435397,0.0423493
Blood-T,0.0288871,0.0260714,0.0592647,0.0560282,0.0399845,0.0286921,0.0835154,0.0512444,0.0317888,0.0429394,0.0590173,0.0366518,0.0436534,0.0437938,0.0546767,0.0474995,0.0192627,0.0362505,0.0303902,0.0426090,0.0354428,0.0410002,0.0338523,0.0270477,0.0610518,0.0177884,0.0163244,0.0816266,0.0507520,0.0410111,0.0294507,0.0469041,0.0557505,0.0345111,0.0331667,0.0384700,0.0176919
Endothel,0.0225634,0.0859433,0.0461214,0.0305947,0.0513033,0.0407640,0.0251231,0.0409941,0.0249007,0.0465469,0.0316157,0.0500983,0.0186017,0.0360260,0.0304121,0.0290426,0.0418248,0.0209089,0.0674127,0.0237533,0.0101175,0.0134467,0.0238607,0.0122063,0.0606446,0.0000000,0.0161640,0.0260664,0.0116818,0.0642694,0.0714867,0.0349049,0.0553788,0.0644475,0.0189546,0.0909769,0.1284122
Neuron,0.0812953,0.1524221,0.0603472,0.0309236,0.1387391,0.0779999,0.0378252,0.0389421,0.0874901,0.0538114,0.0405299,0.1272339,0.0341849,0.0370919,0.0483603,0.0690855,0.1242749,0.0882763,0.1619379,0.0653801,0.0244927,0.0168292,0.0255987,0.0536538,0.0616058,0.0449682,0.0256657,0.0303338,0.0392430,0.0704412,0.1649029,0.0242039,0.0332394,0.0279065,0.1093687,0.1014395,0.2389750
Oligodend,0.0297260,0.0603794,0.0401874,0.0252931,0.0747076,0.1299038,0.0497517,0.0331268,0.0783264,0.0392442,0.0390434,0.0987951,0.0362025,0.0315757,0.0332846,0.0548386,0.1290774,0.0345067,0.1643892,0.0667594,0.0236500,0.0235303,0.0259763,0.0363384,0.0215625,0.0903948,0.0409967,0.0280434,0.0195686,0.0463171,0.1393798,0.0254411,0.0286142,0.0267933,0.0446095,0.0667421,0.0236206
Smooth-Musc,0.1387887,0.1363773,0.1716883,0.0399526,0.0982820,0.1382473,0.0488841,0.0615780,0.1404566,0.0441859,0.0285124,0.0331782,0.0708434,0.0445014,0.0245726,0.0446547,0.1711035,0.0900433,0.1381995,0.0819764,0.1356197,0.1235551,0.0623926,0.0737559,0.0000000,0.3046706,0.1898873,0.1869700,0.1487813,0.0668490,0.0304802,0.0646857,0.1312578,0.0401642,0.1505975,0.1300067,0.0971157
Kidney-Ep,0.0456785,0.0421499,0.0390581,0.0492129,0.0436821,0.0423780,0.0511373,0.0459453,0.0423772,0.0565542,0.0425630,0.0458262,0.0448476,0.0466318,0.0568638,0.0564726,0.0290466,0.0501247,0.0263636,0.0456215,0.0553457,0.0426395,0.0540946,0.0666914,0.0344889,0.0538674,0.0555352,0.0673304,0.0448012,0.0361625,0.0386467,0.0520838,0.0443610,0.0425151,0.0324635,0.0337758,0.0501398
Bladder-Ep,0.0413917,0.0281995,0.0417680,0.0241871,0.0195595,0.0112893,0.0240860,0.0281311,0.0199978,0.0317560,0.0226415,0.0346467,0.0169525,0.0307549,0.0273874,0.0388261,0.0186007,0.0408128,0.0304706,0.0373562,0.0497568,0.0525300,0.0490738,0.1147387,0.0583126,0.0323676,0.0498970,0.0851741,0.0277073,0.0327190,0.0292163,0.0655445,0.0286118,0.0317172,0.0355867,0.0245293,0.0006817
Ovary-Ep,0.0532824,0.0307790,0.0438347,0.0685253,0.0189314,0.0326413,0.0333075,0.0535631,0.0363985,0.0419160,0.0584157,0.0293213,0.0481478,0.0436842,0.0466061,0.0412850,0.0295572,0.0444401,0.0148609,0.0425358,0.0447633,0.0627623,0.0526412,0.0558534,0.0540491,0.0119102,0.0295663,0.0402344,0.0384969,0.0324329,0.0258101,0.0534013,0.0439517,0.0322836,0.0504726,0.0427596,0.0489223
Lung-Ep-Alveo,0.0520016,0.0417891,0.0432996,0.0290821,0.0376316,0.0215623,0.0323079,0.0323468,0.0299822,0.0402959,0.0387329,0.0469476,0.0455049,0.0420823,0.0386075,0.0608669,0.0233163,0.0519236,0.0355770,0.0573671,0.1554934,0.2540213,0.2519515,0.1092238,0.2554721,0.0304150,0.0372640,0.0195252,0.2524611,0.0354108,0.0419096,0.1921022,0.1162331,0.2841880,0.0498041,0.0486591,0.0201052
Lung-Ep-Bron,0.0307047,0.0322294,0.0318014,0.0373818,0.0442550,0.0323044,0.0253642,0.0121774,0.0297788,0.0188422,0.0145076,0.0312887,0.0165992,0.0211581,0.0290186,0.0435820,0.0216008,0.0505165,0.0046016,0.0353204,0.0043411,0.0234571,0.0277909,0.0183271,0.0039310,0.0262378,0.0095912,0.0008889,0.0045250,0.0159581,0.0236591,0.0066368,0.0144794,0.0173718,0.0220873,0.0387237,0.0409995
Breast-Basal-Ep,0.0238190,0.0673435,0.0236963,0.0251119,0.0686210,0.0675496,0.0351064,0.0300335,0.0371103,0.0331817,0.0373539,0.0442458,0.0331369,0.0360036,0.0432837,0.0320142,0.0795031,0.0296051,0.0503158,0.0411632,0.0130517,0.0233414,0.0278168,0.0293561,0.0239121,0.0301418,0.0000000,0.0001082,0.0289514,0.0430358,0.0458383,0.0277843,0.0244851,0.0301028,0.0412489,0.0343651,0.0281027
Breast-Luminal-Ep,0.0109956,0.0000000,0.0089171,0.0000000,0.0178019,0.0296865,0.0140386,0.0035843,0.0000000,0.0000000,0.0000000,0.0096176,0.0000000,0.0010846,0.0117939,0.0131030,0.0031207,0.0028016,0.0000000,0.0000000,0.0684832,0.0269160,0.0499909,0.0769048,0.0126833,0.0675138,0.2281212,0.1350299,0.0090607,0.0006815,0.0000000,0.0353957,0.0125984,0.0095131,0.0046556,0.0106850,0.0176070
Gastric-Ep,0.0509855,0.0284113,0.0459045,0.0435119,0.0251900,0.0371866,0.0427968,0.0446919,0.0345699,0.0358995,0.0456051,0.0417834,0.0472361,0.0328658,0.0521843,0.0540163,0.0208043,0.0486392,0.0184685,0.0518541,0.0340798,0.0215470,0.0358667,0.0349002,0.0291322,0.0374443,0.0260526,0.0297054,0.0201313,0.0319924,0.0320040,0.0376430,0.0344067,0.0240866,0.0496336,0.0327553,0.0235348
Head-Neck-Ep,0.0341825,0.0153561,0.0285544,0.0317035,0.0410242,0.0216740,0.0362924,0.0396833,0.0274074,0.0277650,0.0383530,0.0289580,0.0316037,0.0294120,0.0319347,0.0304824,0.0189501,0.0211390,0.0199725,0.0214623,0.0408183,0.0177209,0.0207934,0.0164789,0.0320603,0.0203870,0.0102136,0.0203510,0.0636104,0.0262352,0.0197586,0.0315881,0.0470467,0.0202284,0.0411710,0.0209450,0.0517454
Gallbladder,0.0291760,0.0279242,0.0277383,0.0414796,0.0270659,0.0328498,0.0373041,0.0450355,0.0315889,0.0424975,0.0384256,0.0383492,0.0371981,0.0451963,0.0388298,0.0333004,0.0272454,0.0364557,0.0232228,0.0315450,0.0288688,0.0250621,0.0341050,0.0315719,0.0353302,0.0292825,0.0236307,0.0226413,0.0235038,0.0328848,0.0352755,0.0430750,0.0407358,0.0528986,0.0371795,0.0231309,0.0186019
Liver-Hep,0.0434440,0.0290729,0.0371305,0.0436478,0.0319615,0.0347427,0.0339011,0.0417448,0.0301630,0.0404584,0.0428065,0.0377813,0.0370554,0.0353712,0.0440233,0.0361822,0.0210370,0.0422893,0.0285110,0.0366878,0.0286864,0.0358049,0.0462162,0.0434344,0.0252506,0.0243060,0.0531182,0.0189752,0.0277568,0.0358803,0.0371033,0.0281381,0.0314646,0.0301956,0.0330006,0.0302742,0.0243793
Colon-Ep,0.0462847,0.0276907,0.0624892,0.0366759,0.0383034,0.0282243,0.0396898,0.0340437,0.0387537,0.0249652,0.0371401,0.0428515,0.0318890,0.0298819,0.0319320,0.0571830,0.0234421,0.0520341,0.0179679,0.0595461,0.0474002,0.0411504,0.0477509,0.0453813,0.0358892,0.0257713,0.0492245,0.0385326,0.0251329,0.0365492,0.0377355,0.0390326,0.0342461,0.0457320,0.0443782,0.0366168,0.0581736
Small-Int-Ep,0.0461937,0.0518496,0.0394181,0.0493200,0.0507217,0.0556451,0.0611054,0.0630436,0.0294891,0.0522297,0.0552615,0.0451131,0.0406596,0.0487022,0.0625111,0.0480544,0.0388910,0.0566475,0.0331325,0.0539978,0.0333710,0.0178658,0.0268986,0.0315171,0.0314246,0.0321803,0.0352684,0.0432700,0.0192967,0.0392470,0.0339879,0.0291669,0.0442281,0.0353104,0.0452378,0.0484925,0.0201220
Pancreas-Duct,0.0604822,0.0262028,0.0332666,0.0228949,0.0321922,0.0415311,0.0218868,0.0367383,0.0166872,0.0329197,0.0382109,0.0338742,0.0240668,0.0283081,0.0277310,0.0525757,0.0279572,0.0445822,0.0161366,0.0567264,0.0096540,0.0201013,0.0201404,0.0000000,0.0191905,0.0438786,0.0144091,0.0132535,0.0149765,0.0559659,0.0233041,0.0142511,0.0250477,0.0125328,0.0394300,0.0335817,0.0217162
